home_team,away_team,date,result,min,H_pts,H_reb,H_ast,H_stl,H_blk,H_to,H_pf,H_dreb,H_oreb,H_fgma,H_fgpct,H_3gma,H_3pct,H_ftma,H_ftpct,H_eff,A_pts,A_reb,A_ast,A_stl,A_blk,A_to,A_pf,A_dreb,A_oreb,A_fgma,A_fgpct,A_3gma,A_3pct,A_ftma,A_ftpct,A_eff
Atlanta,New York,12/26/2015,W,48,117,37,33,13,4,9,17,27,10,47-88,.534,8-25,.320,15-18,.833,151,98,42,25,6,8,22,15,30,12,39-81,.481,7-24,.292,13-17,.765,111
Atlanta,Detroit,12/23/2015,W,48,107,42,25,8,4,13,24,32,10,43-89,.483,6-20,.300,15-20,.750,122,100,46,18,7,9,14,20,33,13,38-89,.427,7-21,.333,17-33,.515,99
Atlanta,Portland,12/21/2015,W,48,106,31,21,8,1,10,17,29,2,37-77,.481,9-29,.310,23-28,.821,112,97,50,24,5,4,18,20,36,14,38-81,.469,5-24,.208,16-22,.727,113
Atlanta,Philadelphia,12/16/2015,W,48,127,25,32,11,7,12,21,23,2,48-78,.615,10-21,.476,21-24,.875,157,106,32,20,5,2,22,21,25,7,39-75,.520,12-26,.462,16-24,.667,99
Atlanta,Miami,12/14/2015,L,48,88,37,25,7,4,14,21,30,7,33-84,.393,8-33,.242,14-15,.933,95,100,54,26,6,5,15,16,39,15,40-89,.449,7-16,.438,13-15,.867,125
Atlanta,San Antonio,12/12/2015,L,48,78,33,21,15,3,17,15,26,7,30-80,.375,5-24,.208,13-16,.812,80,103,49,26,11,2,23,16,43,6,36-74,.486,10-20,.500,21-22,.955,129
Atlanta,L.A.Lakers,12/04/2015,W,48,100,43,24,11,9,17,11,34,9,37-74,.500,10-26,.385,16-20,.800,129,87,42,19,10,7,16,14,27,15,32-86,.372,13-27,.481,10-13,.769,92
Atlanta,Toronto,12/02/2015,L,48,86,43,22,8,7,12,20,30,13,33-90,.367,8-27,.296,12-16,.750,93,96,50,12,10,5,12,18,42,8,36-79,.456,6-25,.240,18-24,.750,112
Atlanta,Oklahoma City,11/30/2015,W,48,106,51,23,9,8,12,15,37,14,39-90,.433,10-28,.357,18-20,.900,132,100,48,19,8,8,11,19,35,13,37-93,.398,7-19,.368,19-22,.864,113
Atlanta,Boston,11/24/2015,W,48,121,43,33,8,7,20,25,37,6,45-80,.562,12-24,.500,19-22,.864,154,97,33,23,14,2,16,19,23,10,34-82,.415,9-21,.429,20-26,.769,99
Atlanta,Sacramento,11/18/2015,W,48,103,45,23,9,6,11,15,33,12,38-89,.427,9-30,.300,18-24,.750,118,97,52,26,7,1,20,22,39,13,38-86,.442,5-16,.312,16-18,.889,113
Atlanta,Utah,11/15/2015,L,48,96,33,26,9,5,15,16,25,8,37-76,.487,8-22,.364,14-17,.824,112,97,40,21,7,7,17,15,30,10,39-76,.513,7-21,.333,12-17,.706,113
Atlanta,New Orleans,11/11/2015,W,48,106,44,26,10,7,12,16,36,8,42-86,.488,10-26,.385,12-16,.750,133,98,40,21,6,0,19,21,32,8,37-83,.446,14-29,.483,10-15,.667,95
Atlanta,Minnesota,11/09/2015,L,48,107,27,30,13,6,17,19,23,4,44-86,.512,13-31,.419,6-7,.857,123,117,40,27,10,5,19,18,32,8,46-80,.575,7-15,.467,18-22,.818,142
Atlanta,Washington,11/07/2015,W,48,114,39,37,13,4,15,15,29,10,43-92,.467,13-33,.394,15-15,1.00,143,99,41,27,12,2,25,18,33,8,38-78,.487,8-24,.333,15-17,.882,114
Atlanta,Brooklyn,11/04/2015,W,48,101,34,27,15,10,13,17,28,6,37-76,.487,8-22,.364,19-24,.792,130,87,43,24,9,4,19,19,29,14,36-83,.434,5-21,.238,10-13,.769,98
Atlanta,Charlotte,10/30/2015,W,48,97,45,23,9,4,15,17,37,8,36-83,.434,8-23,.348,17-22,.773,111,94,54,23,7,6,18,20,41,13,36-88,.409,12-30,.400,10-13,.769,111
Atlanta,Detroit,10/27/2015,L,48,94,40,22,9,4,15,25,33,7,37-82,.451,8-27,.296,12-15,.800,106,106,59,23,5,3,15,15,36,23,37-96,.385,12-29,.414,20-26,.769,116
Brooklyn,Toronto,04/13/2016,L,48,96,39,26,8,8,8,17,34,5,39-89,.438,10-26,.385,8-12,.667,115,103,57,24,5,10,9,12,41,16,41-93,.441,13-37,.351,8-15,.533,131
Brooklyn,Washington,04/11/2016,L,48,111,43,24,9,9,10,16,30,13,44-98,.449,10-31,.323,13-21,.619,124,120,47,27,8,1,14,18,38,9,46-89,.517,9-25,.360,19-24,.792,141
Brooklyn,New Orleans,04/03/2016,L,48,87,50,20,5,3,20,23,29,21,33-85,.388,8-23,.348,13-21,.619,85,106,32,31,11,7,12,21,27,5,42-76,.553,8-22,.364,14-23,.609,132
Brooklyn,Indiana,03/26/2016,W,48,120,40,24,13,1,20,23,33,7,42-77,.545,5-12,.417,31-36,.861,138,110,31,24,15,4,19,26,25,6,37-77,.481,11-24,.458,25-30,.833,120
Brooklyn,Cleveland,03/24/2016,W,48,104,46,28,10,4,9,16,36,10,41-89,.461,8-22,.364,14-19,.737,130,95,45,22,3,2,14,20,34,11,39-89,.438,10-38,.263,7-9,.778,101
Brooklyn,Charlotte,03/22/2016,L,48,100,44,21,4,2,16,24,38,6,34-74,.459,8-18,.444,24-27,.889,112,105,36,21,7,5,8,21,33,3,39-82,.476,10-28,.357,17-21,.810,119
Brooklyn,Philadelphia,03/15/2016,W,48,131,52,23,12,3,12,20,38,14,47-90,.522,10-24,.417,27-31,.871,162,114,34,26,6,4,17,21,25,9,41-88,.466,11-30,.367,21-26,.808,115
Brooklyn,Milwaukee,03/13/2016,L,48,100,31,25,3,6,20,18,28,3,39-70,.557,12-27,.444,10-13,.769,111,109,41,27,13,3,9,12,26,15,45-89,.506,6-14,.429,13-21,.619,132
Brooklyn,Charlotte,02/21/2016,L,48,96,42,23,8,4,14,15,33,9,35-81,.432,5-22,.227,21-24,.875,110,104,41,23,7,1,15,21,35,6,40-79,.506,10-27,.370,14-15,.933,121
Brooklyn,New York,02/19/2016,W,48,109,42,26,14,6,7,17,35,7,42-86,.488,8-17,.471,17-20,.850,143,98,44,20,6,6,16,17,36,8,36-82,.439,10-26,.385,16-18,.889,110
Brooklyn,Memphis,02/10/2016,L,48,90,35,25,4,2,20,12,27,8,33-71,.465,11-22,.500,13-19,.684,92,109,35,26,15,2,10,18,25,10,45-86,.523,9-20,.450,10-12,.833,134
Brooklyn,Denver,02/08/2016,W,48,105,39,23,6,6,15,11,31,8,42-81,.519,9-19,.474,12-15,.800,122,104,42,24,10,2,12,16,30,12,42-90,.467,9-25,.360,11-13,.846,120
Brooklyn,Sacramento,02/05/2016,W,48,128,46,29,5,4,21,20,35,11,48-86,.558,18-28,.643,14-15,.933,152,119,31,30,15,3,11,19,26,5,45-89,.506,8-26,.308,21-22,.955,142
