"","away_team","home_team","date","result","min","H_pts","H_reb","H_ast","H_stl","H_blk","H_to","H_pf","H_dreb","H_oreb","H_fgpct","H_3pct","H_ftpct","H_eff","A_pts","A_reb","A_ast","A_stl","A_blk","A_to","A_pf","A_dreb","A_oreb","A_fgpct","A_3pct","A_ftpct","A_eff","H_FGM","H_FGA","A_FGM","A_FGA","H_3M","H_3A","A_3M","A_3A","H_FTM","H_FTA","A_FTM","A_FTA","reg_season","pre_allstar","away_team_idx","home_team_idx","team_abbv","away_team_idx"
"133","L.A.Lakers","Denver","2015-12-22","L",48,107,44,26,2,5,12,24,31,13,0.456,0.36,0.842,120,111,40,17,6,6,11,21,29,11,0.476,0.269,0.75,117,41,90,40,84,9,25,7,26,16,19,24,32,TRUE,TRUE,6,2,"DEN",6
"134","L.A.Lakers","Golden State","2016-01-14","W",48,116,47,26,12,4,19,17,35,12,0.5,0.394,0.85,140,98,47,17,13,3,21,19,31,16,0.444,0.167,0.583,97,43,86,40,90,13,33,4,24,17,20,14,24,TRUE,TRUE,6,3,"GSW",6
"135","L.A.Lakers","Golden State","2015-11-24","W",48,111,48,32,9,6,8,13,36,12,0.489,0.343,0.6,145,77,44,16,8,2,14,15,37,7,0.378,0.15,0.75,78,45,92,31,82,12,35,3,20,9,15,12,16,TRUE,TRUE,6,3,"GSW",6
"136","L.A.Lakers","Houston","2016-04-10","W",48,130,48,30,11,5,13,15,32,16,0.51,0.415,0.722,158,110,40,25,10,3,18,15,33,7,0.494,0.429,0.842,125,50,98,41,83,17,41,12,28,13,18,16,19,TRUE,FALSE,6,4,"HOU",6
"137","L.A.Lakers","Houston","2015-12-12","W",48,126,52,32,16,7,16,15,37,15,0.522,0.455,0.607,163,97,40,21,11,4,19,23,29,11,0.398,0.312,0.85,98,47,90,35,88,15,33,10,32,17,28,17,20,TRUE,TRUE,6,4,"HOU",6
"138","L.A.Lakers","L.A. Clippers","2016-04-05","W",48,103,46,26,11,4,13,17,40,6,0.513,0.35,0.615,129,81,43,11,10,3,15,23,29,14,0.313,0.3,0.92,74,40,78,26,83,7,20,6,20,16,26,23,25,TRUE,FALSE,6,5,"LAC",6
"139","L.A.Lakers","L.A. Clippers","2016-01-29","W",48,105,38,20,10,9,8,19,33,5,0.494,0.308,0.708,126,93,48,19,6,4,17,21,37,11,0.436,0.385,0.8,104,40,81,34,78,8,26,5,13,17,24,20,25,TRUE,TRUE,6,5,"LAC",6
"140","L.A.Lakers","Memphis","2016-02-24","W",48,128,46,26,6,4,9,20,37,9,0.565,0.481,0.655,154,119,45,16,5,3,7,21,30,15,0.443,0.436,0.727,123,48,85,39,88,13,27,17,39,19,29,24,33,TRUE,FALSE,6,7,"MEM",6
"141","L.A.Lakers","Memphis","2015-12-27","W",48,112,41,30,11,4,10,22,34,7,0.562,0.375,0.727,147,96,46,16,6,5,13,18,28,18,0.381,0.276,0.75,96,45,80,32,84,6,16,8,29,16,22,24,32,TRUE,TRUE,6,7,"MEM",6
"142","L.A.Lakers","Minnesota","2015-12-09","W",53,123,47,30,4,4,14,20,33,14,0.495,0.368,0.774,140,122,40,19,9,1,9,23,31,9,0.516,0.391,0.63,127,46,93,48,93,7,19,9,23,24,31,17,27,TRUE,TRUE,6,8,"MIN",6
"143","L.A.Lakers","New Orleans","2016-04-08","W",48,110,43,29,5,4,16,20,34,9,0.532,0.455,0.762,133,102,34,18,9,5,13,23,24,10,0.42,0.458,0.852,104,42,79,34,81,10,22,11,24,16,21,23,27,TRUE,FALSE,6,9,"NOP",6
"144","L.A.Lakers","New Orleans","2016-02-04","L",48,96,40,16,8,4,7,21,33,7,0.459,0.2,0.538,99,99,48,14,4,0,16,22,39,9,0.481,0.35,0.7,101,39,85,39,81,4,20,7,20,14,26,14,20,TRUE,TRUE,6,9,"NOP",6
"145","L.A.Lakers","Oklahoma City","2016-04-11","W",48,112,57,27,8,11,11,20,44,13,0.438,0.324,0.593,139,79,48,15,8,1,15,20,38,10,0.284,0.226,0.867,74,42,96,23,81,12,37,7,31,16,27,26,30,TRUE,FALSE,6,10,"OKC",6
"146","L.A.Lakers","Oklahoma City","2015-12-19","W",48,118,56,28,6,3,15,14,44,12,0.548,0.474,0.68,150,78,32,14,10,2,14,20,24,8,0.349,0.286,0.588,59,46,84,30,86,9,19,8,28,17,25,10,17,TRUE,TRUE,6,10,"OKC",6
"147","L.A.Lakers","Phoenix","2016-03-23","W",48,119,52,31,6,4,13,21,37,15,0.505,0.464,0.6,145,107,41,13,6,6,10,24,27,14,0.419,0.269,0.846,105,47,93,39,93,13,28,7,26,12,20,22,26,TRUE,FALSE,6,11,"PHX",6
"148","L.A.Lakers","Phoenix","2015-11-16","W",48,120,50,23,13,6,10,16,32,18,0.484,0.367,0.76,148,101,37,12,5,2,16,23,30,7,0.481,0.45,0.9,99,45,93,37,77,11,30,9,20,19,25,18,20,TRUE,TRUE,6,11,"PHX",6
"149","L.A.Lakers","Portland","2016-01-23","W",48,121,42,26,12,1,8,22,28,14,0.505,0.323,0.773,143,103,30,14,4,6,18,20,26,4,0.493,0.412,0.875,100,47,93,34,69,10,31,7,17,17,22,28,32,TRUE,TRUE,6,12,"POR",6
"150","L.A.Lakers","Portland","2015-11-28","W",48,108,46,24,5,2,16,16,34,12,0.487,0.4,0.769,123,96,33,20,12,2,9,19,27,6,0.439,0.304,0.739,102,38,78,36,82,12,30,7,23,20,26,17,23,TRUE,TRUE,6,12,"POR",6
"151","L.A.Lakers","Sacramento","2016-01-07","W",48,118,36,32,9,5,15,20,26,10,0.553,0.286,0.667,138,115,33,20,10,4,19,26,27,6,0.547,0.333,0.862,125,47,85,41,75,6,21,8,24,18,27,25,29,TRUE,TRUE,6,13,"SAC",6
"152","L.A.Lakers","Sacramento","2015-10-30","W",48,132,56,26,6,7,14,23,40,16,0.515,0.273,0.733,156,114,37,20,7,9,19,24,29,8,0.461,0.324,0.778,114,52,101,41,89,6,22,11,34,22,30,21,27,TRUE,TRUE,6,13,"SAC",6
"153","L.A.Lakers","San Antonio","2016-02-06","W",48,106,51,27,4,6,10,19,36,15,0.443,0.333,0.8,130,102,46,19,5,3,8,22,33,13,0.395,0.333,0.889,112,39,88,34,86,8,24,10,30,20,25,24,27,TRUE,TRUE,6,14,"SAS",6
"154","L.A.Lakers","San Antonio","2015-12-11","W",48,109,49,26,9,6,13,13,38,11,0.537,0.429,0.6,138,87,36,20,7,5,15,21,27,9,0.409,0.36,0.6,84,44,82,36,88,6,14,9,25,15,25,6,10,TRUE,TRUE,6,14,"SAS",6
"155","L.A.Lakers","Utah","2016-03-28","W",48,123,57,26,4,7,7,18,44,13,0.517,0.531,0.737,162,75,37,11,5,6,9,19,30,7,0.306,0.35,0.727,60,46,89,26,85,17,32,7,20,14,19,16,22,TRUE,FALSE,6,15,"UTA",6
"156","L.A.Lakers","Utah","2016-01-16","W",48,109,51,17,8,8,10,17,40,11,0.494,0.5,0.833,138,82,44,16,4,4,14,14,28,16,0.344,0.391,0.611,70,41,83,31,90,12,24,9,23,15,18,11,18,TRUE,TRUE,6,15,"UTA",6
"157","Memphis","Dallas","2016-04-08","W",48,103,38,18,7,6,17,17,32,6,0.5,0.387,0.795,117,93,42,17,9,1,15,33,27,15,0.402,0.318,0.727,89,30,60,35,87,12,31,7,22,31,39,16,22,TRUE,FALSE,7,1,"DAL",7
"158","Memphis","Dallas","2015-12-18","W",48,97,50,27,7,4,19,17,39,11,0.436,0.345,0.905,120,88,39,13,11,3,12,19,29,10,0.375,0.353,0.917,90,34,78,30,80,10,29,6,17,19,21,22,24,TRUE,TRUE,7,1,"DAL",7
