"","away_team","home_team","date","result","min","H_pts","H_reb","H_ast","H_stl","H_blk","H_to","H_pf","H_dreb","H_oreb","H_fgpct","H_3pct","H_ftpct","H_eff","A_pts","A_reb","A_ast","A_stl","A_blk","A_to","A_pf","A_dreb","A_oreb","A_fgpct","A_3pct","A_ftpct","A_eff","H_FGM","H_FGA","A_FGM","A_FGA","H_3M","H_3A","A_3M","A_3A","H_FTM","H_FTA","A_FTM","A_FTA","reg_season","pre_allstar","away_team_idx","home_team_idx","team_abbv","away_team_idx"
"1","Dallas","Denver","2017-02-06","W",48,110,49,28,7,10,15,19,39,10,0.5,0.393,0.938,146,87,29,25,8,3,10,18,26,3,0.43,0.308,0.647,91,42,84,34,79,11,28,8,26,15,16,11,17,TRUE,TRUE,1,2,"DEN",1
"2","Dallas","Denver","2016-12-19","W",48,117,40,32,7,0,11,13,33,7,0.57,0.542,0.778,147,107,30,21,4,4,12,17,25,5,0.531,0.56,0.778,114,45,79,43,81,13,24,14,25,14,18,7,9,TRUE,TRUE,1,2,"DEN",1
"3","Dallas","Golden State","2016-12-30","W",48,108,43,31,5,4,13,12,39,4,0.5,0.333,0.867,134,99,40,22,11,7,10,12,29,11,0.419,0.25,0.867,113,42,84,39,93,11,33,8,32,13,15,13,15,TRUE,TRUE,1,3,"GSW",1
"4","Dallas","Golden State","2016-11-09","W",48,116,39,33,3,6,15,22,34,5,0.581,0.515,0.591,142,95,42,20,10,2,7,20,29,13,0.395,0.214,0.75,103,43,74,34,86,17,33,6,28,13,22,21,28,TRUE,TRUE,1,3,"GSW",1
"5","Dallas","Houston","2016-12-10","W",48,109,48,31,4,1,15,16,38,10,0.5,0.514,0.727,135,87,32,18,7,3,9,18,26,6,0.405,0.324,0.857,89,37,74,32,79,19,37,11,34,16,22,12,14,TRUE,TRUE,1,4,"HOU",1
"6","Dallas","Houston","2016-10-30","W",48,93,46,16,5,4,17,21,37,9,0.425,0.355,0.667,94,92,42,17,8,3,9,17,30,12,0.381,0.367,0.85,98,34,80,32,84,11,31,11,30,14,21,17,20,TRUE,TRUE,1,4,"HOU",1
"7","Dallas","L.A. Clippers","2017-04-05","W",48,112,40,22,11,0,14,19,35,5,0.507,0.387,0.774,127,101,44,24,5,3,16,26,33,11,0.442,0.355,0.778,109,38,75,38,86,12,31,11,31,24,31,14,18,TRUE,FALSE,1,5,"LAC",1
"8","Dallas","L.A. Clippers","2016-12-23","L",48,88,41,17,9,4,20,16,35,6,0.459,0.448,0.636,95,90,42,21,13,4,12,14,28,14,0.425,0.241,0.6,102,34,74,37,87,13,29,7,29,7,11,9,15,TRUE,TRUE,1,5,"LAC",1
"9","Dallas","L.A. Lakers","2016-12-29","L",48,89,34,15,8,1,15,18,27,7,0.471,0.368,0.72,89,101,42,24,8,2,15,17,32,10,0.494,0.452,0.786,120,32,68,38,77,7,19,14,31,18,25,11,14,TRUE,TRUE,1,6,"LAL",1
"10","Dallas","L.A. Lakers","2016-11-08","L",48,97,37,20,6,1,16,19,29,8,0.487,0.385,0.786,102,109,37,24,11,4,11,12,29,8,0.524,0.435,0.867,133,38,78,43,82,10,26,10,23,11,14,13,15,TRUE,TRUE,1,6,"LAL",1
"11","Dallas","Memphis","2017-04-12","L",48,93,48,18,4,5,14,23,32,16,0.393,0.32,0.864,100,100,37,21,9,5,12,19,29,8,0.44,0.265,0.806,112,33,84,33,75,8,25,9,34,19,22,25,31,TRUE,FALSE,1,7,"MEM",1
"12","Dallas","Memphis","2017-03-31","W",48,99,47,23,4,4,13,22,39,8,0.467,0.407,0.9,122,90,38,15,7,4,8,21,32,6,0.382,0.353,0.8,94,35,75,29,76,11,27,12,34,18,20,20,25,TRUE,FALSE,1,7,"MEM",1
"13","Dallas","Minnesota","2017-02-24","W",48,97,44,24,9,4,16,12,35,9,0.526,0.385,0.714,121,84,35,16,9,5,15,19,27,8,0.422,0.242,0.667,83,41,78,35,83,5,13,8,33,10,14,6,9,TRUE,FALSE,1,8,"MIN",1
"14","Dallas","Minnesota","2017-01-09","W",48,101,42,30,11,4,18,24,33,9,0.563,0.375,0.714,133,92,25,24,3,2,14,21,20,5,0.462,0.464,0.778,88,40,71,36,78,6,16,13,28,15,21,7,9,TRUE,TRUE,1,8,"MIN",1
"15","Dallas","New Orleans","2017-03-29","W",48,121,43,26,5,5,6,18,33,10,0.506,0.4,0.758,145,118,38,25,3,4,5,21,30,8,0.484,0.519,0.941,135,42,83,44,91,12,30,14,27,25,33,16,17,TRUE,FALSE,1,9,"NOP",1
"16","Dallas","New Orleans","2016-12-26","W",48,111,41,24,6,3,10,19,36,5,0.529,0.48,0.833,137,104,32,27,4,1,10,22,28,4,0.493,0.406,0.773,115,37,70,37,75,12,25,13,32,25,30,17,22,TRUE,TRUE,1,9,"NOP",1
"17","Dallas","Oklahoma City","2017-01-26","W",48,109,43,13,7,2,16,17,36,7,0.514,0.409,0.722,113,98,36,17,10,2,12,26,28,8,0.452,0.423,0.846,103,37,72,38,84,9,22,11,26,26,36,11,13,TRUE,TRUE,1,10,"OKC",1
"18","Dallas","Phoenix","2017-04-09","W",48,124,43,26,6,4,12,18,35,8,0.55,0.421,0.875,151,111,44,23,5,2,10,23,27,17,0.423,0.356,0.684,113,44,80,41,97,8,19,16,45,28,32,13,19,TRUE,FALSE,1,11,"PHX",1
"19","Dallas","Phoenix","2017-01-12","L",48,108,47,15,2,4,19,23,34,13,0.487,0.556,0.815,112,113,32,29,11,8,9,20,24,8,0.483,0.441,0.706,133,38,78,43,89,10,18,15,34,22,27,12,17,TRUE,TRUE,1,11,"PHX",1
"20","Dallas","Portland","2017-02-03","L",48,104,44,16,3,4,9,19,32,12,0.455,0.3,0.75,109,108,36,15,3,4,4,24,34,2,0.474,0.548,0.826,118,40,88,36,76,9,30,17,31,15,20,19,23,TRUE,TRUE,1,12,"POR",1
"21","Dallas","Portland","2016-12-21","L",48,95,43,15,6,4,17,20,34,9,0.444,0.37,0.75,99,96,38,14,12,5,10,20,28,10,0.422,0.226,0.826,103,32,72,35,83,10,27,7,31,21,28,19,23,TRUE,TRUE,1,12,"POR",1
"22","Dallas","Sacramento","2017-04-04","W",48,98,50,17,11,2,18,10,40,10,0.45,0.545,0.824,113,87,39,21,9,8,16,13,31,8,0.4,0.279,0.786,97,36,80,32,80,12,22,12,43,14,17,11,14,TRUE,FALSE,1,13,"SAC",1
"23","Dallas","San Antonio","2017-01-29","L",48,101,46,26,2,5,11,20,40,6,0.47,0.364,0.652,117,105,41,20,6,5,6,19,35,6,0.448,0.353,0.938,122,39,83,39,87,8,22,12,34,15,23,15,16,TRUE,TRUE,1,14,"SAS",1
"24","Dallas","San Antonio","2016-11-21","W",48,96,39,24,9,1,13,18,31,8,0.467,0.4,0.72,109,91,40,16,10,3,17,23,30,10,0.473,0.296,0.65,97,35,75,35,74,8,20,8,27,18,25,13,20,TRUE,TRUE,1,14,"SAS",1
"25","Dallas","Utah","2016-12-16","W",48,103,41,18,4,3,16,23,33,8,0.569,0.364,0.778,119,100,27,18,9,0,6,24,20,7,0.455,0.429,0.857,103,37,65,35,77,8,22,12,28,21,27,18,21,TRUE,TRUE,1,15,"UTA",1
"26","Dallas","Utah","2016-11-02","W",48,97,41,18,6,3,12,21,34,7,0.455,0.48,0.577,100,81,36,18,4,4,12,20,30,6,0.429,0.269,0.8,85,35,77,33,77,12,25,7,26,15,26,8,10,TRUE,TRUE,1,15,"UTA",1
"27","Denver","Dallas","2017-04-11","L",48,91,42,24,8,4,13,11,34,8,0.398,0.3,0.818,101,109,53,31,7,1,16,14,43,10,0.488,0.429,0.643,137,35,88,41,84,12,40,18,42,9,11,9,14,TRUE,FALSE,2,1,"DAL",2
"28","Denver","Dallas","2016-12-12","W",48,112,34,22,9,7,9,15,26,8,0.584,0.462,0.833,141,92,43,19,6,3,16,15,23,20,0.422,0.28,0.833,96,45,77,35,83,12,26,7,25,10,12,15,18,TRUE,TRUE,2,1,"DAL",2
"29","Denver","Golden State","2017-01-02","W",48,127,43,33,7,2,13,14,31,12,0.526,0.44,0.762,149,119,48,33,10,2,14,21,32,16,0.475,0.257,0.778,141,50,95,48,101,11,25,9,35,16,21,14,18,TRUE,TRUE,2,3,"GSW",2
"30","Denver","Houston","2017-04-05","W",48,110,56,19,7,3,16,20,45,11,0.425,0.294,0.684,117,104,51,26,10,5,12,24,39,12,0.394,0.184,0.833,118,37,87,41,104,10,34,7,38,26,38,15,18,TRUE,FALSE,2,4,"HOU",2
"31","Denver","Houston","2017-03-20","W",48,125,35,27,12,2,12,22,29,6,0.506,0.447,0.783,140,124,48,26,7,3,19,18,40,8,0.512,0.414,0.923,145,45,89,44,86,17,38,12,29,18,23,24,26,TRUE,FALSE,2,4,"HOU",2
"32","Denver","L.A. Clippers","2016-12-26","L",48,102,38,22,6,7,11,19,34,4,0.464,0.36,0.75,114,106,51,22,10,1,14,18,40,11,0.439,0.355,0.821,125,39,84,36,82,9,25,11,31,15,20,23,28,TRUE,TRUE,2,5,"LAC",2
"33","Denver","L.A. Clippers","2016-12-20","W",48,119,37,32,7,2,12,13,32,5,0.547,0.444,0.692,142,102,46,22,5,2,12,15,31,15,0.433,0.282,0.65,107,47,86,39,90,16,36,11,39,9,13,13,20,TRUE,TRUE,2,5,"LAC",2
"34","Denver","L.A. Lakers","2017-01-31","W",48,120,44,25,7,10,15,16,34,10,0.528,0.462,0.778,145,116,51,26,12,5,11,18,31,20,0.414,0.556,0.826,137,47,89,41,99,12,26,15,27,14,18,19,23,TRUE,TRUE,2,6,"LAL",2
"35","Denver","L.A. Lakers","2017-01-17","L",48,121,43,28,11,5,12,21,23,20,0.435,0.367,0.889,133,127,45,29,5,10,17,17,32,13,0.568,0.423,0.615,151,47,108,50,88,11,30,11,26,16,18,16,26,TRUE,TRUE,2,6,"LAL",2
