home_team,away_team,date,result,min,H_pts,H_reb,H_ast,H_stl,H_blk,H_to,H_pf,H_dreb,H_oreb,H_fgpct,H_3pct,H_ftpct,H_eff,A_pts,A_reb,A_ast,A_stl,A_blk,A_to,A_pf,A_dreb,A_oreb,A_fgpct,A_3pct,A_ftpct,A_eff,home_team_idx,away_team_idx,H_FGM,H_FGA,A_FGM,A_FGA,H_3M,H_3A,A_3M,A_3A,H_FTM,H_FTA,A_FTM,A_FTA,reg_season,pre_allstar
Charlotte,Detroit,2016-11-29,L,48,89,40,21,7,5,13,16,35,5,0.397,0.33299999999999996,0.857,99,112,44,21,7,4,11,19,35,9,0.489,0.429,0.909,129,3,8,31,78,45,92,9,27,12,28,18,21,10,11,True,True
Charlotte,New York,2016-11-26,W,48,107,52,16,3,9,10,14,42,10,0.43799999999999994,0.364,0.69,119,102,46,26,9,6,8,27,36,10,0.37799999999999995,0.375,0.8,116,3,20,35,80,37,98,8,22,12,32,29,42,16,20,True,True
Charlotte,San Antonio,2016-11-23,L,48,114,44,30,3,3,15,16,32,12,0.506,0.55,0.722,130,119,34,28,9,8,9,18,26,8,0.512,0.419,0.9,145,3,27,45,89,44,86,11,20,13,31,13,18,18,20,True,True
Charlotte,Memphis,2016-11-21,L,48,90,39,20,6,9,10,13,31,8,0.41100000000000003,0.29,0.636,99,105,40,24,7,8,10,24,34,6,0.47600000000000003,0.462,0.765,126,3,14,30,73,40,84,9,31,12,26,21,33,13,17,True,True
Charlotte,Atlanta,2016-11-18,W,48,100,44,25,11,4,11,16,36,8,0.41100000000000003,0.345,0.667,112,96,49,25,9,6,16,18,41,8,0.46399999999999997,0.25,0.647,118,3,1,37,90,39,84,10,29,7,28,16,24,11,17,True,True
Charlotte,Toronto,2016-11-11,L,48,111,57,22,1,4,11,16,39,18,0.409,0.415,0.75,123,113,45,18,8,5,5,21,37,8,0.478,0.273,0.955,136,3,28,38,93,43,90,17,41,6,22,18,24,21,22,True,True
Charlotte,Utah,2016-11-09,W,48,104,37,24,8,4,8,19,32,5,0.46299999999999997,0.308,0.69,116,98,46,24,5,6,12,22,36,10,0.46299999999999997,0.235,0.778,119,3,29,38,82,38,82,8,26,8,34,20,29,14,18,True,True
Charlotte,Indiana,2016-11-07,W,48,122,43,30,12,3,11,15,40,3,0.488,0.375,0.875,152,100,51,23,8,4,18,25,40,11,0.43,0.273,0.733,111,3,11,41,84,40,93,12,32,9,33,28,32,11,15,True,True
Charlotte,Philadelphia,2016-11-02,W,48,109,44,25,8,3,15,17,35,9,0.494,0.382,0.6920000000000001,126,93,37,23,8,2,17,24,29,8,0.395,0.316,0.867,92,3,23,39,79,34,86,13,34,12,38,18,26,13,15,True,True
Charlotte,Boston,2016-10-29,L,48,98,38,22,8,6,8,17,32,6,0.405,0.281,0.758,109,104,42,25,4,6,13,26,38,4,0.48100000000000004,0.484,0.647,120,3,2,32,79,39,81,9,32,15,31,25,33,11,17,True,True
Chicago,Boston,2017-04-28,L,48,83,45,13,5,2,13,16,34,11,0.395,0.21100000000000002,0.882,84,105,43,28,7,5,9,14,36,7,0.48700000000000004,0.41,0.611,131,4,2,32,81,39,80,4,19,16,39,15,17,11,18,False,False
Chicago,Boston,2017-04-23,L,48,95,44,19,5,4,12,23,32,12,0.42100000000000004,0.20800000000000002,0.7879999999999999,104,104,41,22,7,4,13,24,31,10,0.469,0.27,0.818,118,4,2,32,76,38,81,5,24,10,37,26,33,18,22,False,False
Chicago,Boston,2017-04-21,L,48,87,52,14,7,8,17,15,37,15,0.39299999999999996,0.28600000000000003,1.0,100,104,37,34,11,2,12,12,30,7,0.47700000000000004,0.45899999999999996,0.7140000000000001,129,4,2,33,84,41,86,6,21,17,37,15,15,5,7,False,False
Chicago,Brooklyn,2017-04-12,W,48,112,62,28,15,4,12,18,48,14,0.43200000000000005,0.467,0.762,150,73,48,17,8,3,18,16,38,10,0.326,0.091,0.778,69,4,18,41,95,28,86,14,30,3,33,16,21,14,18,True,False
Chicago,Orlando,2017-04-10,W,48,122,54,33,12,4,12,16,43,11,0.539,0.462,0.875,170,75,37,18,5,5,16,18,28,9,0.345,0.185,0.75,65,4,,48,89,29,84,12,26,5,27,14,16,12,16,True,False
Chicago,Atlanta,2017-04-01,W,48,106,40,25,6,4,12,17,34,6,0.47100000000000003,0.4,1.0,124,104,45,25,4,2,13,16,34,11,0.444,0.39299999999999996,0.765,113,4,1,40,85,40,90,12,30,11,28,14,14,13,17,True,False
Chicago,Cleveland,2017-03-30,W,48,99,51,26,11,3,12,15,36,15,0.42200000000000004,0.48,0.611,119,93,44,23,6,5,15,22,35,9,0.446,0.37,0.562,103,4,5,38,90,37,83,12,25,10,27,11,18,9,16,True,False
Chicago,Philadelphia,2017-03-24,L,48,107,39,22,9,5,14,15,24,15,0.40700000000000003,0.41700000000000004,0.742,106,117,46,23,10,4,18,22,35,11,0.5539999999999999,0.32,0.7390000000000001,139,4,23,37,91,46,83,10,24,8,25,23,31,17,23,True,False
Chicago,Detroit,2017-03-22,W,48,117,36,36,12,3,11,20,29,7,0.588,0.478,0.632,153,95,44,18,6,1,15,17,28,16,0.44299999999999995,0.35,0.588,93,4,8,47,80,39,88,11,23,7,20,12,19,10,17,True,False
Chicago,Utah,2017-03-18,W,48,95,39,24,7,9,10,18,32,7,0.475,0.368,0.857,120,86,49,15,6,8,14,12,32,17,0.38299999999999995,0.28,0.68,92,4,29,38,80,31,81,7,19,7,25,12,14,17,25,True,False
Chicago,Memphis,2017-03-15,L,48,91,45,22,6,6,5,19,31,14,0.374,0.39299999999999996,0.8,105,98,52,26,2,3,11,19,38,14,0.424,0.355,0.833,118,4,14,34,91,36,85,11,28,11,31,12,15,15,18,True,False
Chicago,Houston,2017-03-10,L,48,94,49,24,9,6,18,21,38,11,0.38799999999999996,0.231,0.75,101,115,54,26,11,4,17,15,43,11,0.41600000000000004,0.319,0.812,135,4,10,38,98,37,89,9,39,15,47,9,12,26,32,True,False
Chicago,L.A.Clippers,2017-03-04,L,48,91,45,26,11,0,19,24,31,14,0.42200000000000004,0.353,0.75,101,101,37,20,7,5,14,17,26,11,0.48200000000000004,0.24,0.812,109,4,,35,83,41,85,6,17,6,25,15,20,13,16,True,False
Chicago,Golden State,2017-03-02,W,48,94,49,19,9,5,15,15,42,7,0.439,0.263,0.81,111,87,41,23,10,6,15,18,35,6,0.386,0.2,0.929,97,4,9,36,82,34,88,5,19,6,30,17,21,13,14,True,False
Chicago,Denver,2017-02-28,L,48,107,35,26,10,3,12,19,24,11,0.45799999999999996,0.385,0.9,116,125,45,26,6,3,16,16,39,6,0.562,0.433,0.917,152,4,7,44,96,45,80,10,26,13,30,9,10,22,24,True,False
Chicago,Phoenix,2017-02-24,W,53,128,46,31,15,4,12,21,35,11,0.469,0.462,0.774,153,121,43,27,8,6,19,23,35,8,0.527,0.33299999999999996,0.6,132,4,24,46,98,49,93,12,26,8,24,24,31,15,25,True,False
Chicago,Boston,2017-02-16,W,48,104,51,23,2,6,7,13,36,15,0.42200000000000004,0.24,1.0,127,103,31,24,2,4,7,18,27,4,0.46799999999999997,0.37799999999999995,0.85,113,4,2,38,90,36,77,6,25,14,37,22,22,17,20,True,True
Chicago,Toronto,2017-02-14,W,48,105,37,22,8,5,17,23,30,7,0.479,0.41200000000000003,0.8,115,94,34,15,9,1,16,26,26,8,0.455,0.25,0.792,90,4,28,35,73,35,77,7,17,5,20,28,35,19,24,True,True
Chicago,Philadelphia,2017-01-29,W,48,121,49,29,8,5,10,11,39,10,0.506,0.5710000000000001,0.821,153,108,43,26,8,8,12,22,32,11,0.444,0.35700000000000004,0.7140000000000001,122,4,23,45,89,44,99,8,14,10,28,23,28,10,14,True,True
Chicago,Miami,2017-01-27,L,48,88,43,19,7,9,20,12,34,9,0.418,0.231,0.76,94,100,41,25,13,2,10,17,34,7,0.461,0.375,0.818,121,4,15,33,79,41,89,3,13,9,24,19,25,9,11,True,True
Chicago,Atlanta,2017-01-25,L,48,114,42,18,6,5,6,16,29,13,0.457,0.29600000000000004,0.769,122,119,39,29,5,5,13,20,33,6,0.518,0.5670000000000001,0.8420000000000001,141,4,1,43,94,43,83,8,27,17,30,20,26,16,19,True,True
Chicago,Sacramento,2017-01-21,W,48,102,48,22,7,7,11,18,34,14,0.41,0.353,0.848,121,99,40,20,7,5,9,23,31,9,0.44,0.34600000000000003,0.762,110,4,26,34,83,37,84,6,17,9,26,28,33,16,21,True,True
Chicago,Dallas,2017-01-17,L,48,98,43,23,6,4,13,22,32,11,0.451,0.429,0.818,112,99,36,27,5,2,12,21,30,6,0.474,0.39299999999999996,0.778,112,4,6,37,82,37,78,6,14,11,28,18,22,14,18,True,True
Chicago,New Orleans,2017-01-14,W,48,107,63,22,10,6,10,20,42,21,0.426,0.4,0.565,130,99,42,27,3,6,11,19,36,6,0.46399999999999997,0.304,0.667,114,4,19,43,101,39,84,8,20,7,23,13,23,14,21,True,True
Chicago,Oklahoma City,2017-01-09,L,48,94,38,18,7,3,11,13,29,9,0.405,0.35,0.8640000000000001,96,109,42,30,5,5,12,17,36,6,0.5660000000000001,0.292,0.727,140,4,21,34,84,47,83,7,20,7,24,19,22,8,11,True,True
